ticker,company,fiscal_year,fiscal_year_end,revenue,net_income,total_assets,total_liabilities,operating_cash_flow
AAPL,Apple,2019,2019-09-28,260174.0,55256.0,338516.0,248028.0,69391.0
AAPL,Apple,2020,2020-09-26,274515.0,57411.0,323888.0,258549.0,80674.0
AAPL,Apple,2021,2021-09-25,365817.0,94680.0,351002.0,287912.0,104038.0
AAPL,Apple,2022,2022-09-24,394328.0,99803.0,352755.0,302083.0,122151.0
AAPL,Apple,2023,2023-09-30,383285.0,96995.0,352583.0,290437.0,110543.0
AAPL,Apple,2024,2024-09-28,391035.0,93736.0,364980.0,308030.0,118254.0
AAPL,Apple,2025,2025-09-27,416161.0,112010.0,359241.0,285508.0,111482.0
AMZN,Amazon,2019,2019-12-31,280522.0,11588.0,225248.0,163188.0,38514.0
AMZN,Amazon,2020,2020-12-31,386064.0,21331.0,321195.0,227791.0,66064.0
AMZN,Amazon,2021,2021-12-31,469822.0,33364.0,420549.0,282304.0,46327.0
AMZN,Amazon,2022,2022-12-31,513983.0,-2722.0,462675.0,316632.0,46752.0
AMZN,Amazon,2023,2023-12-31,574785.0,30425.0,527854.0,325979.0,84946.0
AMZN,Amazon,2024,2024-12-31,637959.0,59248.0,624894.0,338924.0,115877.0
AMZN,Amazon,2025,2025-12-31,716924.0,77670.0,818042.0,406977.0,139514.0
GOOGL,Alphabet,2019,2019-12-31,161857.0,34343.0,275909.0,74467.0,54520.0
GOOGL,Alphabet,2020,2020-12-31,182527.0,40269.0,319616.0,97072.0,65124.0
GOOGL,Alphabet,2021,2021-12-31,257637.0,76033.0,359268.0,107633.0,91652.0
GOOGL,Alphabet,2022,2022-12-31,282836.0,59972.0,365264.0,109120.0,91495.0
GOOGL,Alphabet,2023,2023-12-31,307394.0,73795.0,402392.0,119013.0,101746.0
GOOGL,Alphabet,2024,2024-12-31,350018.0,100118.0,450256.0,125172.0,125299.0
GOOGL,Alphabet,2025,2025-12-31,402836.0,132170.0,595281.0,180016.0,164713.0
META,Meta,2019,2019-12-31,70697.0,18485.0,133376.0,32322.0,36314.0
META,Meta,2020,2020-12-31,85965.0,29146.0,159316.0,31026.0,38747.0
META,Meta,2021,2021-12-31,117929.0,39370.0,165987.0,41108.0,57683.0
META,Meta,2022,2022-12-31,116609.0,23200.0,185727.0,60014.0,50475.0
META,Meta,2023,2023-12-31,134902.0,39098.0,229623.0,76455.0,71113.0
META,Meta,2024,2024-12-31,164501.0,62360.0,276054.0,93417.0,91328.0
META,Meta,2025,2025-12-31,200966.0,60458.0,366021.0,148778.0,115800.0
MSFT,Microsoft,2019,2019-06-30,125843.0,39240.0,286556.0,184226.0,52185.0
MSFT,Microsoft,2020,2020-06-30,143015.0,44281.0,301311.0,183007.0,60675.0
MSFT,Microsoft,2021,2021-06-30,168088.0,61271.0,333779.0,191791.0,76740.0
MSFT,Microsoft,2022,2022-06-30,198270.0,72738.0,364840.0,198298.0,89035.0
MSFT,Microsoft,2023,2023-06-30,211915.0,72361.0,411976.0,205753.0,87582.0
MSFT,Microsoft,2024,2024-06-30,245122.0,88136.0,512163.0,243686.0,118548.0
MSFT,Microsoft,2025,2025-06-30,281724.0,101832.0,619003.0,275524.0,136162.0
MSFT,Microsoft,2026,2026-06-30,331839.0,133749.0,758376.0,315989.0,182935.0
NVDA,NVIDIA,2019,2019-01-27,11716.0,4141.0,13292.0,3950.0,3743.0
NVDA,NVIDIA,2020,2020-01-26,10918.0,2796.0,17315.0,5111.0,4761.0
NVDA,NVIDIA,2021,2021-01-31,16675.0,4332.0,28791.0,11898.0,5822.0
NVDA,NVIDIA,2022,2022-01-30,26914.0,9752.0,44187.0,17575.0,9108.0
NVDA,NVIDIA,2023,2023-01-29,26974.0,4368.0,41182.0,19081.0,5641.0
NVDA,NVIDIA,2024,2024-01-28,60922.0,29760.0,65728.0,22750.0,28090.0
NVDA,NVIDIA,2025,2025-01-26,130497.0,72880.0,111601.0,32274.0,64089.0
NVDA,NVIDIA,2026,2026-01-25,215938.0,120067.0,206803.0,49510.0,102718.0
TSLA,Tesla,2019,2019-12-31,24578.0,-775.0,34309.0,26199.0,2405.0
TSLA,Tesla,2020,2020-12-31,31536.0,862.0,52148.0,28418.0,5943.0
TSLA,Tesla,2021,2021-12-31,53823.0,5644.0,62131.0,30548.0,11497.0
TSLA,Tesla,2022,2022-12-31,81462.0,12587.0,82338.0,36440.0,14724.0
TSLA,Tesla,2023,2023-12-31,96773.0,14974.0,106618.0,43009.0,13256.0
TSLA,Tesla,2024,2024-12-31,97690.0,7153.0,122070.0,48390.0,14923.0
TSLA,Tesla,2025,2025-12-31,94827.0,3855.0,137806.0,54941.0,14747.0
